aX,aY,aZ
-1.179,1.809,0.726
-1.128,1.903,0.827
-1.076,1.928,1.018
-0.935,1.925,1.175
-0.761,1.92,1.254
-0.644,1.916,1.399
-0.354,1.911,1.506
-0.044,1.894,1.54
0.123,1.844,1.557
0.455,1.815,1.546
0.764,1.79,1.549
0.904,1.758,1.556
1.131,1.725,1.566
1.296,1.628,1.576
1.338,1.597,1.59
1.327,1.577,1.582
1.202,1.533,1.581
1.106,1.525,1.569
0.86,1.532,1.566
0.719,1.497,1.549
0.454,1.458,1.513
0.203,1.389,1.502
0.091,1.361,1.5
-0.096,1.352,1.505
-0.261,1.304,1.486
-0.339,1.303,1.434
-0.446,1.283,1.406
-0.515,1.309,1.318
-0.618,1.27,1.278
-0.7,1.348,1.235
-0.785,1.315,1.202
-0.81,1.322,1.16
-0.896,1.258,1.118
-0.923,1.159,1.057
-0.933,1.12,0.987
-0.885,1.075,0.959
-0.991,0.966,0.765
-0.635,1.043,0.957
-0.681,0.964,0.786
-0.557,0.987,0.816
-0.456,0.878,0.775
-0.398,0.81,0.732
-0.333,0.762,0.702
-0.26,0.663,0.68
-0.118,0.621,0.663
-0.077,0.544,0.597
-0.009,0.48,0.512
0.047,0.349,0.49
0.065,0.256,0.461
0.076,0.227,0.462
0.061,0.172,0.465
0.061,0.085,0.479
0.074,0.046,0.454
0.092,-0.122,0.44
0.101,-0.283,0.414
0.166,-0.327,0.468
0.226,-0.395,0.516
0.252,-0.459,0.612
0.325,-0.498,0.707
0.399,-0.571,0.726
0.429,-0.653,0.731
0.524,-0.699,0.698
0.653,-0.775,0.683
0.686,-0.78,0.693
0.75,-0.774,0.707
0.812,-0.76,0.714
0.835,-0.716,0.705
0.9,-0.708,0.668
